Hora,Nome,ccu
20/04/2021 11:24,Tom Clancy's Rainbow Six Siege,98436
20/04/2021 11:24,Team Fortress 2,97071
20/04/2021 11:54,Counter-Strike: Global Offensive,988083
20/04/2021 11:54,Dota 2,602955
20/04/2021 11:54,PLAYERUNKNOWN'S BATTLEGROUNDS,342090
20/04/2021 11:54,Apex Legends,194370
20/04/2021 11:54,Grand Theft Auto V,125191
20/04/2021 11:54,Source SDK Base 2013 Multiplayer,124502
20/04/2021 11:54,Path of Exile,99779
20/04/2021 11:54,Team Fortress 2,97897
20/04/2021 12:24,Counter-Strike: Global Offensive,942546
20/04/2021 12:24,Dota 2,597339
20/04/2021 12:24,PLAYERUNKNOWN'S BATTLEGROUNDS,301442
20/04/2021 12:24,Apex Legends,176052
20/04/2021 12:24,Source SDK Base 2013 Multiplayer,130041
20/04/2021 12:24,Grand Theft Auto V,117515
20/04/2021 12:24,Path of Exile,104171
20/04/2021 12:24,Team Fortress 2,96332
20/04/2021 12:54,Counter-Strike: Global Offensive,909916
20/04/2021 12:54,Dota 2,574531
20/04/2021 12:54,PLAYERUNKNOWN'S BATTLEGROUNDS,250887
20/04/2021 12:54,Apex Legends,160143
20/04/2021 12:54,Source SDK Base 2013 Multiplayer,136181
20/04/2021 12:54,Grand Theft Auto V,109450
20/04/2021 12:54,Path of Exile,109118
20/04/2021 12:54,Team Fortress 2,97638
20/04/2021 13:25,Counter-Strike: Global Offensive,890044
20/04/2021 13:25,Dota 2,558135
20/04/2021 13:25,PLAYERUNKNOWN'S BATTLEGROUNDS,214645
20/04/2021 13:25,Apex Legends,149600
20/04/2021 13:25,Source SDK Base 2013 Multiplayer,141931
20/04/2021 13:25,Path of Exile,113457
20/04/2021 13:25,Grand Theft Auto V,103551
20/04/2021 13:25,Team Fortress 2,98339
20/04/2021 13:55,Counter-Strike: Global Offensive,848938
20/04/2021 13:55,Dota 2,506631
20/04/2021 13:55,PLAYERUNKNOWN'S BATTLEGROUNDS,186820
20/04/2021 13:55,Apex Legends,142277
20/04/2021 13:55,Path of Exile,116304
20/04/2021 13:55,Source SDK Base 2013 Multiplayer,101676
20/04/2021 13:55,Grand Theft Auto V,98604
20/04/2021 13:55,Rust,84944
20/04/2021 14:25,Counter-Strike: Global Offensive,892107
20/04/2021 14:25,Dota 2,515162
20/04/2021 14:25,PLAYERUNKNOWN'S BATTLEGROUNDS,158950
20/04/2021 14:25,Apex Legends,139007
20/04/2021 14:25,Source SDK Base 2013 Multiplayer,129460
20/04/2021 14:25,Path of Exile,120061
20/04/2021 14:25,Grand Theft Auto V,94788
20/04/2021 14:25,Team Fortress 2,89467
20/04/2021 14:55,Counter-Strike: Global Offensive,925868
20/04/2021 14:55,Dota 2,513991
20/04/2021 14:55,PLAYERUNKNOWN'S BATTLEGROUNDS,144559
20/04/2021 14:55,Source SDK Base 2013 Multiplayer,143868
20/04/2021 14:55,Apex Legends,131900
20/04/2021 14:55,Path of Exile,122234
20/04/2021 14:55,Grand Theft Auto V,93963
20/04/2021 14:55,Team Fortress 2,91669
20/04/2021 15:25,Counter-Strike: Global Offensive,956454
20/04/2021 15:25,Dota 2,504794
